path,food_category,dish,classes
images/bibimbap/2857696.jpg,2,69,2 69
images/prime_rib/2280209.jpg,2,79,2 79
images/chicken_quesadilla/823085.jpg,2,60,2 60
images/bread_pudding/3141232.jpg,1,83,1 83
images/beignets/2139636.jpg,1,68,1 68
images/miso_soup/3852837.jpg,2,45,2 45
images/huevos_rancheros/2652102.jpg,2,22,2 22
images/bread_pudding/2740832.jpg,1,83,1 83
images/hot_dog/282294.jpg,2,47,2 47
images/waffles/3168479.jpg,1,18,1 18
images/french_toast/2304788.jpg,2,12,2 12
images/caesar_salad/1769262.jpg,0,100,0 100
images/crab_cakes/224793.jpg,2,36,2 36
images/tuna_tartare/3092640.jpg,2,9,2 9
images/eggs_benedict/2318323.jpg,2,63,2 63
images/takoyaki/627733.jpg,2,54,2 54
images/garlic_bread/979293.jpg,2,4,2 4
images/chocolate_cake/693098.jpg,1,74,1 74
images/tacos/1320199.jpg,2,75,2 75
images/hot_dog/3847258.jpg,2,47,2 47
images/falafel/2032021.jpg,2,26,2 26
images/peking_duck/1823523.jpg,2,87,2 87
images/poutine/1502509.jpg,2,27,2 27
images/sashimi/380023.jpg,2,42,2 42
images/panna_cotta/193759.jpg,1,50,1 50
images/beignets/2125224.jpg,1,68,1 68
images/macaroni_and_cheese/926212.jpg,2,82,2 82
images/apple_pie/656340.jpg,1,56,1 56
images/ramen/1440387.jpg,2,84,2 84
images/hot_and_sour_soup/80543.jpg,2,40,2 40
images/ice_cream/3908295.jpg,1,6,1 6
images/omelette/3236935.jpg,2,65,2 65
images/oysters/1568533.jpg,2,95,2 95
images/baby_back_ribs/3681407.jpg,2,77,2 77
images/french_toast/263259.jpg,2,12,2 12
images/ravioli/2943902.jpg,2,32,2 32
images/churros/3323489.jpg,1,19,1 19
images/beef_carpaccio/1742911.jpg,2,62,2 62
images/macaroni_and_cheese/732646.jpg,2,82,2 82
images/eggs_benedict/1904619.jpg,2,63,2 63
images/fish_and_chips/3006202.jpg,2,51,2 51
images/eggs_benedict/1019469.jpg,2,63,2 63
images/red_velvet_cake/407104.jpg,1,17,1 17
images/spring_rolls/669188.jpg,2,41,2 41
images/lobster_bisque/2275539.jpg,2,33,2 33
images/carrot_cake/3494959.jpg,1,98,1 98
images/omelette/659943.jpg,2,65,2 65
images/spring_rolls/3879421.jpg,2,41,2 41
images/lasagna/2704381.jpg,2,86,2 86
images/ceviche/2609605.jpg,2,39,2 39
images/paella/1940053.jpg,2,43,2 43
images/steak/1925230.jpg,2,15,2 15
images/eggs_benedict/3630033.jpg,2,63,2 63
images/miso_soup/2127338.jpg,2,45,2 45
images/chicken_wings/30171.jpg,2,72,2 72
images/croque_madame/180161.jpg,2,85,2 85
images/bruschetta/679949.jpg,2,49,2 49
images/ceviche/1783159.jpg,2,39,2 39
images/paella/3582510.jpg,2,43,2 43
images/mussels/2794174.jpg,2,61,2 61
images/poutine/349675.jpg,2,27,2 27
images/beef_tartare/254418.jpg,2,29,2 29
images/pulled_pork_sandwich/2371643.jpg,2,48,2 48
images/creme_brulee/2882098.jpg,1,97,1 97
images/fried_calamari/1938178.jpg,2,30,2 30
images/fish_and_chips/1611179.jpg,2,51,2 51
images/sushi/372221.jpg,2,66,2 66
images/fried_calamari/2715126.jpg,2,30,2 30
images/dumplings/1563646.jpg,2,90,2 90
images/waffles/708688.jpg,1,18,1 18
images/club_sandwich/623281.jpg,2,1,2 1
